"Metric","Value"
"Total Jobs","1000"
"Total Simulation Time","4580.52"
"Average Waiting Time","1055.63"
"Minimum Waiting Time","0"
"Maximum Waiting Time","2068.21"
"Median Waiting Time","1049.72"
"Average Turnaround Time","1060.21"
"Minimum Turnaround Time","4.03"
"Maximum Turnaround Time","2071.66"
"Median Turnaround Time","1054.47"
"Average Service Time","4.58"
"Average Queue Length","229.92"
"Maximum Queue Length","454"
"Server Utilization","100 %"
"Throughput Jobs Per Hour","13.1"
"Blocked Jobs","108"
"Prioritized Jobs","209"
"Passed Jobs","281"
"Monitored Jobs","402"
"Average Priority Score","49.26"
"Maximum Priority Score","96.48"
"Minimum Priority Score","14.82"
"Average Dynamic Priority","98.84"
"Average Priority Increase","49.59"
"Risk-Priority Correlation","0.971"
"Severity-Priority Correlation","0.972"
"Evaluation Score","60"
